,tweet_id,retweet_count,favorite_count
296,nan,2731,17480
297,nan,88,0
298,nan,2610,13879
299,nan,5237,21029
300,nan,2522,13782
301,nan,626,0
302,nan,31314,0
303,nan,3337,16037
304,nan,4850,23177
305,nan,4935,20924
306,nan,9327,0
307,nan,4121,19447
308,nan,1939,0
309,nan,24013,0
310,nan,3381,17847
311,nan,1939,8503
312,nan,83,2259
313,nan,6516,28552
314,nan,3443,24574
315,nan,1878,11838
316,nan,6159,22943
317,nan,2882,14993
318,nan,12224,0
319,nan,1899,10512
320,nan,5476,22594
321,nan,4130,17194
322,nan,2427,10971
323,nan,2512,14296
324,nan,2729,14661
325,nan,3904,16728
326,nan,251,0
327,nan,3636,22585
328,nan,2357,16258
329,nan,5513,22133
330,nan,2522,14549
331,nan,43,0
332,nan,4127,18423
333,nan,3368,13017
334,nan,594,3195
335,nan,3220,17379
336,nan,2548,13126
337,nan,3652,18792
338,nan,2673,12385
339,nan,7069,0
340,nan,10723,0
341,nan,3,72
342,nan,11131,0
343,nan,4746,13887
344,nan,7031,26404
345,nan,39,369
346,nan,7458,30380
347,nan,2059,11469
348,nan,2243,7908
349,nan,2632,9872
350,nan,1744,10042
351,nan,1264,7117
352,nan,2786,12819
353,nan,2350,13066
354,nan,1735,8735
355,nan,19297,73397
356,nan,6554,0
357,nan,3455,10804
358,nan,5757,0
359,nan,2243,13441
360,nan,12224,34913
361,nan,2329,11519
362,nan,10706,38074
363,nan,8530,26952
364,nan,18627,58302
365,nan,3901,0
366,nan,6746,28085
367,nan,12882,40241
368,nan,1544,10467
369,nan,1305,6898
370,nan,1477,8398
371,nan,2554,13864
372,nan,1216,8112
373,nan,3344,13756
374,nan,195,2408
375,nan,3260,12923
376,nan,2451,11411
377,nan,5987,22180
378,nan,3433,16983
379,nan,1082,8143
380,nan,3510,17523
381,nan,13517,0
382,nan,2579,11659
383,nan,5757,23767
384,nan,11878,40325
385,nan,4521,0
386,nan,292,5637
387,nan,2709,11117
388,nan,4821,20275
389,nan,2965,14614
390,nan,1075,5361
391,nan,3599,17299
392,nan,2146,11525
393,nan,2848,14025
394,nan,19669,56413
395,nan,5244,20181
396,nan,1483,0
397,nan,1483,7020
398,nan,6288,0
399,nan,4069,16508
400,nan,1993,11113
401,nan,11848,12999
402,nan,4463,16625
403,nan,679,5255
404,nan,3123,11755
405,nan,12953,0
406,nan,2772,13826
407,nan,3031,14376
408,nan,31,777
409,nan,4637,17437
410,nan,11421,0
411,nan,3958,19139
412,nan,48265,132810
413,nan,2622,14576
414,nan,7390,0
415,nan,3423,16327
416,nan,7390,20083
417,nan,17209,31800
418,nan,11421,38832
419,nan,5571,0
420,nan,2692,12582
